72 96
#################################################
#...............................................#
#...........................#########...........#
#...........................#       #...........#
#...........................#       #...........#
#...........................#       #...........########################
#...........................#       #..................................#
#...........................#       #..................................#
#...........................#       #..................................#
#...........................#       #..................................#
###########.......###########       ####################################
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #.......#
          #....@..#
          #.......#
          #########
